FECHA_CORTE;UUID;FACULTAD;ESPECIALIDAD;MODALIDAD;NIVEL_ACADEMICO;ANNIO_POSTULACION;DERPARTAMENTO;PROVINCIA;DISTRITO;DEPARTAMENTO_ORIGEN;PROVINCIA_ORIGEN;DISTRITO_ORIGEN;COLEGIO;SEXO;DISCAPACIDAD;ETNIA
20240626;c1b4563fa763a9eea7c7861f4e1e5ee6;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Primaria;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;BREÑA                                                       ;LIMA           ;LIMA                                    ;SAN JUAN DE MIRAFLORES                                      ;;F;NINGUNA;OTROS
20240626;cf57c069b977328e9d1c84dcbd718dfa;FACULTAD DE CIENCIAS;SEP - Informática Educativa;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;SANTIAGO DE SURCO                                           ;LIMA           ;LIMA                                    ;SANTIAGO DE SURCO                                           ;;M;NINGUNA;MESTIZO
20240626;170ae4f40bd138f87bec629bd8697c7d;FACULTAD DE CIENCIAS EMPRESARIALES;P. Administración de Empresas;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;LIMA                                                        ;LIMA           ;LIMA                                    ;SAN MARTIN DE PORRES                                        ;SANTO DOMINGO EL PREDICADOR;F;NINGUNA;MESTIZO
20240626;ce6a728a001b6b370d2bf4b362e5319c;FACULTAD DE EDUCACIÓN INICIAL;SEP - Educación Inicial;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;PASCO          ;DANIEL ALCIDES CARRION                  ;YANAHUANCA                                                  ;LIMA           ;LIMA                                    ;ATE                                                         ;;F;NINGUNA;OTROS
20240626;199fb160c169205475dacad23d1f84f6;FACULTAD DE EDUCACIÓN INICIAL;P.E.E. Educación Inicial - Niñez Temprana;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;ATE                                                         ;LIMA           ;LIMA                                    ;ATE                                                         ;0025 SAN MARTIN DE PORRES;F;NINGUNA;OTROS
20240626;436ae1218e1fc85ee34d3d399218c440;FACULTAD DE CIENCIAS SOCIALES Y HUMANIDADES;SEP - Lengua Extranjera - Inglés;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;ATE                                                         ;LIMA           ;LIMA                                    ;ATE                                                         ;;F;NINGUNA;OTROS
20240626;ff55ac9cd58849285c8cba20ad420a8d;FACULTAD DE PEDAGOGÍA Y CULTURA FÍSICA;SEP - Educación Primaria;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;HUAROCHIRI                              ;MATUCANA                                                    ;LIMA           ;LIMA                                    ;ATE                                                         ;;F;NINGUNA;MESTIZO
20240626;1bd9c6bee463476cdb10f582981e4cec;FACULTAD DE EDUCACIÓN INICIAL;SEP - Educación Inicial;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LORETO         ;ALTO AMAZONAS                           ;YURIMAGUAS                                                  ;;;;;F;NINGUNA;MESTIZO
20240626;f3aaad367863f81ea02494cb64064d26;FACULTAD DE EDUCACIÓN INICIAL;SEP - Educación Inicial;Examen y Entrevista;SEG. ESPECIALIDAD;2023-1;LIMA           ;LIMA                                    ;SANTA ANITA                                                 ;LIMA           ;LIMA                                    ;SANTA ANITA                                                 ;;F;NINGUNA;MESTIZO
20240626;45905c38869695ad62e8b7a829c77183;FACULTAD DE CIENCIAS EMPRESARIALES;P. Administración de Empresas;Prueba General de Admisión;PREGRADO;2023-1;LIMA           ;LIMA                                    ;LIMA                                                        ;LIMA           ;LIMA                                    ;LIMA                                                        ;1070 MELITON CARVAJAL;M;NINGUNA;MESTIZO
